['300', '60', '300', '30', '30.0', '30', '31', '1']
['300', '0', '300', '30', '30.0', '88', '31', '1']
['300', '130', '330', '130', '30.0', '89', '34', '1']
['330', '130', '400', '130', '70.0', '34', '100', '1']
['400', '150', '400', '140', '10.0', '107', '46', '0']
['400', '140', '400', '130', '10.0', '46', '100', '0']
['420', '130', '435', '130', '15.0', '108', '48', '1']
['435', '130', '445', '130', '10.0', '48', '111', '1']
['445', '130', '445', '145', '15.0', '111', '53', '0']
['445', '145', '445', '150', '5.0', '53', '110', '0']
['445', '130', '455', '130', '10.0', '111', '50', '1']
['455', '130', '480', '130', '25.0', '50', '112', '1']
['400', '190', '400', '180', '10.0', '99', '35', '0']
['400', '180', '400', '165', '15.0', '35', '44', '0']
['400', '165', '400', '150', '15.0', '44', '107', '0']
['480', '190', '480', '160', '30.0', '105', '51', '1']
['480', '160', '480', '155', '5.0', '51', '58', '1']
['480', '155', '480', '130', '25.0', '58', '112', '1']
['300', '190', '300', '160', '30.0', '101', '33', '1']
['300', '160', '300', '130', '30.0', '33', '89', '1']
['200', '130', '200', '80', '50.0', '84', '132', '1']
['200', '80', '200', '0', '80.0', '132', '87', '0']
