[480, 70, 519.9398331698754, 67.90613672700871, 39.99468135944409, 124, 65, 0]
[519.9398331698754, 67.90613672700871, 545, 68, 25.0603426127356, 65, 123, 0]
[480, 60, 519.9398331698754, 61.9294121320841, 39.98640900122085, 125, 68, 0]
[519.9398331698754, 61.9294121320841, 545, 62, 25.060266243613057, 68, 122, 0]
[480, 130, 480, 110, 20.0, 114, 64, 1]
[480, 110, 480, 70, 40.0, 64, 124, 1]
[480, 60, 480, 40, 20.0, 125, 69, 1]
[480, 40, 480, 0, 40.0, 69, 120, 0]
[480, 130, 530, 130, 50.0, 114, 61, 1]
[530, 130, 540, 130, 10.0, 61, 63, 1]
[540, 130, 600, 130, 60.0, 63, 115, 1]
[300, 130, 300, 90, 40.0, 91, 31, 1]
[300, 90, 300, 60, 30.0, 31, 32, 1]
[300, 60, 300, 30, 30.0, 32, 33, 1]
[300, 0, 300, 30, 30.0, 90, 33, 1]
[300, 130, 330, 130, 30.0, 91, 36, 1]
[330, 130, 400, 130, 70.0, 36, 102, 1]
[400, 150, 400, 140, 10.0, 109, 48, 0]
[400, 140, 400, 130, 10.0, 48, 102, 0]
[420, 130, 435, 130, 15.0, 110, 50, 1]
[435, 130, 445, 130, 10.0, 50, 113, 1]
[445, 130, 445, 145, 15.0, 113, 55, 0]
[445, 145, 445, 150, 5.0, 55, 112, 0]
[445, 130, 455, 130, 10.0, 113, 52, 1]
[455, 130, 480, 130, 25.0, 52, 114, 1]
[400, 190, 400, 180, 10.0, 101, 37, 0]
[400, 180, 400, 165, 15.0, 37, 46, 0]
[400, 165, 400, 150, 15.0, 46, 109, 0]
[480, 190, 480, 160, 30.0, 107, 53, 1]
[480, 160, 480, 155, 5.0, 53, 60, 1]
[480, 155, 480, 130, 25.0, 60, 114, 1]
[300, 190, 300, 160, 30.0, 103, 35, 1]
[300, 160, 300, 130, 30.0, 35, 91, 1]
[200, 130, 200, 80, 50.0, 86, 134, 1]
[200, 80, 200, 0, 80.0, 134, 89, 0]
